elem	freq	tree	encode	decode	
100	26.87	7.66	11.65	387.64
200	49.84	7.3	29.47	709.83
300	68.31	7.0	39.21	910.78
400	87.14	8.63	54.78	1433.56
500	102.87	9.17	58.85	1740.11
600	129.6	7.9	71.98	1860.19
700	296.04	16.55	110.83	3526.26
800	173.11	7.78	103.67	2733.56
900	187.17	6.6	106.0	2623.56
1000	214.92	7.5	127.77	3080.22
1100	231.76	9.5	136.61	3531.5
1200	305.56	8.08	153.19	3711.99
1300	264.38	8.54	158.34	3983.92
1400	316.62	8.41	178.37	4567.99
1500	299.1	9.6	188.07	4908.26
1600	317.57	8.07	221.73	5055.35
1700	345.55	8.63	205.31	5613.55
1800	363.74	9.77	286.5	6179.67
1900	367.96	8.81	319.03	6177.68
2000	434.64	9.16	251.89	5966.22
2100	483.88	10.72	267.84	6745.4
2200	464.52	8.5	264.01	6462.74
2300	451.47	10.33	328.14	7805.21
2400	469.53	8.71	306.89	7374.8
2500	521.98	13.4	309.25	9349.77
2600	580.05	11.53	322.81	9100.75
2700	515.98	11.45	423.76	10502.1
2800	556.2	9.31	412.84	9754.28
2900	572.44	9.68	365.28	8965.86
3000	643.12	9.96	405.82	9595.85
3100	695.44	9.42	414.21	9704.4
3200	689.68	12.02	496.92	11349.61
3300	721.15	13.0	460.6	12094.23
3400	765.96	10.3	402.8	10515.3
3500	778.8	10.84	427.66	11544.11
3600	803.93	15.22	507.5	14266.46
3700	759.41	12.08	532.25	13744.77
3800	789.78	12.11	550.13	13751.63
3900	806.97	13.33	531.2	14964.06
4000	811.71	11.99	549.01	14058.14
4100	901.33	10.55	524.03	14036.11
4200	952.7	12.77	637.24	16203.37
4300	891.43	11.1	557.15	14820.85
4400	1003.51	14.9	724.03	18504.91
4500	1042.71	12.41	682.01	16531.32
4600	973.19	13.22	596.42	16377.06
4700	968.57	15.28	737.35	17978.87
4800	954.14	12.0	620.99	16980.69
4900	1073.08	11.79	663.71	17652.5
5000	1038.38	9.81	705.9	15792.69
5100	1067.33	14.15	629.12	19216.52
5200	1151.58	11.74	770.21	18569.34
5300	1148.22	10.04	651.73	16240.96
5400	1560.73	14.86	892.69	24579.53
5500	1147.07	12.12	777.73	20664.19
5600	1221.2	11.06	709.15	19217.73
5700	1139.63	10.71	769.18	18934.28
5800	1413.97	14.62	887.31	23298.65
5900	1266.98	11.51	763.32	20728.82
6000	1211.05	12.09	774.05	21839.71
6100	1339.89	11.37	729.2	20572.95
6200	1306.74	11.79	700.35	21381.22
6300	1462.94	17.28	864.39	28345.71
6400	1288.82	13.16	873.22	23003.06
6500	1440.88	15.37	851.59	25422.23
6600	1449.94	15.63	991.47	27572.49
6700	1419.04	11.98	783.36	23506.45
6800	1362.37	11.84	956.44	24382.63
6900	1419.98	14.46	882.08	27057.3
7000	1466.58	13.81	988.35	26475.04
7100	1361.94	11.18	928.5	24866.98
7200	1412.51	11.46	937.68	24474.12
7300	1792.91	14.25	1053.47	28759.87
7400	2086.93	19.8	1031.02	37779.63
7500	1531.17	14.5	1056.38	30537.48
7600	1639.31	14.89	1168.25	30966.69
7700	1582.48	12.37	927.73	25798.72
7800	1910.33	14.01	1094.33	28719.54
7900	1715.75	10.65	1212.52	26346.41
8000	1614.8	12.17	1074.11	26795.41
8100	1538.94	12.12	1303.63	28591.6
8200	1877.01	14.14	1132.46	30168.13
8300	1842.01	17.65	1034.09	39397.79
8400	1810.67	13.5	1134.05	30895.79
8500	1816.24	14.01	1106.98	33002.66
8600	1798.14	15.32	1216.43	31652.81
8700	1785.31	12.11	1152.46	30543.87
8800	1775.75	15.66	1105.38	35733.31
8900	2042.02	13.56	1208.94	34625.66
9000	1800.46	13.49	1140.39	34111.39
9100	1864.24	12.62	1076.6	32031.49
9200	1849.87	15.43	1269.76	36552.15
9300	1997.27	14.43	1111.62	35078.21
9400	1981.6	14.19	1124.65	34177.37
9500	2031.63	13.9	1337.58	36495.44
9600	2129.67	13.9	1361.02	37129.45
9700	2217.99	14.56	1231.78	37499.5
9800	2101.11	12.62	1305.92	35604.53
9900	2199.4	14.08	1326.1	38446.49
10000	2321.33	13.04	1366.16	37343.67
10100	2134.96	13.16	1327.36	37782.11
10200	2173.06	14.29	1381.59	39028.19
10300	2320.75	14.85	1372.29	39440.48
10400	2127.09	16.02	1599.92	40358.51
10500	2115.42	12.33	1332.57	37689.18
10600	2161.3	17.6	1494.45	42942.73
10700	2182.87	15.39	1348.78	41888.69
10800	2078.63	12.02	1525.71	38632.6
10900	2202.49	15.27	1504.56	42379.36
11000	2406.73	14.62	1687.87	43833.51
11100	2210.73	13.2	1328.19	41144.18
11200	2363.67	13.3	1471.99	41768.08
11300	2289.39	13.22	1471.09	40521.9
11400	2382.04	16.56	1738.29	49013.3
11500	2252.16	14.1	1242.96	40214.44
11600	2248.81	12.83	1549.07	42192.01
11700	2539.36	14.7	1580.88	45941.93
11800	2313.47	14.12	1774.19	44688.12
11900	2209.08	15.95	1820.06	48128.65
12000	2383.08	13.9	1623.48	45954.16
12100	2360.51	14.68	1498.2	46480.74
12200	2428.16	14.78	1790.61	47328.59
12300	2529.07	14.02	1563.23	47276.34
12400	2695.61	14.92	1623.85	49827.36
12500	2708.02	16.32	1760.96	49741.79
12600	2983.4	15.29	1777.72	49673.31
12700	2770.95	14.78	1568.29	49265.86
12800	2825.04	18.24	1979.11	57949.94
12900	2942.48	17.15	1942.49	55120.32
13000	2756.32	16.58	1755.25	53836.59
13100	2813.04	15.38	1881.32	52304.37
13200	2722.73	17.39	1642.86	55985.12
13300	3004.15	16.5	1895.1	53740.71
13400	2899.1	15.86	1987.92	54595.31
13500	2865.07	15.73	1873.54	55912.81
13600	2967.33	14.74	1765.32	53928.46
13700	3347.62	15.67	1830.49	52901.1
13800	2751.97	14.6	1886.64	52765.85
13900	2725.56	14.24	1900.17	55986.52
14000	2719.94	13.89	1770.9	51181.91
14100	2720.77	14.61	2359.68	58356.87
14200	2675.21	14.85	2274.85	57038.82
14300	3470.66	15.67	1809.91	57514.51
14400	2967.88	14.75	2074.6	56809.84
14500	3151.81	16.3	1685.2	56830.51
14600	3217.66	16.07	1843.09	59628.86
14700	3233.92	16.33	1934.56	59365.59
14800	3079.42	17.78	2440.26	65559.68
14900	3427.56	17.06	2231.1	64959.79
15000	3567.4	17.16	2066.33	60468.33
15100	3024.88	16.27	2096.5	59964.09
15200	3299.32	16.99	2282.67	64067.45
15300	3360.35	16.4	2072.96	62168.25
15400	3454.77	19.15	1980.4	68396.68
15500	3325.75	19.46	2327.41	68278.65
15600	3331.15	18.4	2333.31	68696.06
15700	3404.34	18.2	2388.28	69851.41
15800	3303.24	15.61	2124.81	61720.57
15900	3283.73	18.17	2359.69	64654.6
16000	3642.7	15.89	2462.93	66535.15
16100	4022.45	21.06	2359.87	74722.45
16200	3296.0	15.66	2481.77	66954.98
16300	3473.53	16.37	2387.1	69102.09
16400	3590.16	19.39	2547.49	74048.98
16500	3475.89	18.62	2457.56	75205.93
16600	3504.41	14.37	2319.75	65128.0
16700	3728.57	51.59	1930.12	66692.13
16800	3765.02	17.31	2389.55	72496.14
16900	3573.69	17.65	2311.28	69241.15
17000	3595.96	17.46	2188.79	70292.98
17100	4387.62	17.11	2221.48	70526.44
17200	3713.95	16.17	2465.77	68637.06
17300	3750.73	17.07	2423.07	72111.05
17400	3536.94	16.18	2463.38	73711.85
17500	3644.8	16.46	2161.85	70237.57
17600	3706.77	16.11	2349.07	71069.36
17700	3518.46	18.08	2114.67	70798.92
17800	3558.41	19.93	2670.14	81282.54
17900	4111.73	18.15	2386.23	73011.64
18000	3770.18	17.09	2610.05	72551.44
18100	3912.54	15.89	2269.49	71739.73
18200	3825.62	15.82	2491.92	72987.68
18300	3972.89	16.15	2811.4	75641.01
18400	3543.47	16.51	2554.22	76130.91
18500	4155.48	17.2	2913.64	78315.0
18600	4172.33	16.12	2557.01	76892.15
18700	4019.06	17.53	2857.25	80210.66
18800	3995.51	16.8	2624.59	82488.89
18900	3880.12	15.81	2598.63	75076.07
19000	3837.33	16.5	2797.59	77944.24
19100	3983.8	16.19	2811.24	78573.34
19200	4157.85	17.75	3116.97	85135.09
19300	4173.92	19.43	2637.7	84604.06
19400	4279.42	18.59	2488.12	83372.69
19500	4003.88	16.8	2070.14	76695.08
19600	4072.93	16.03	2931.27	79466.88
19700	4205.33	15.32	2645.36	80845.55
19800	3816.28	16.22	2460.78	78023.37
19900	4221.06	15.48	3019.77	81592.02
20000	4307.56	17.25	2503.96	82509.76
