elem	freq	tree	encode	decode	
100	15.69	1.36	9.0	78.35
200	69.9	1.86	20.7	186.11
300	37.19	0.73	21.7	175.83
400	54.42	1.03	34.12	261.2
500	66.09	0.87	39.77	312.04
600	72.79	0.87	45.56	356.03
700	88.82	1.01	56.22	425.07
800	104.32	1.12	66.05	501.4
900	119.86	0.99	74.88	562.79
1000	137.28	1.16	85.3	627.93
1100	148.64	1.92	87.87	665.55
1200	150.09	0.94	105.83	728.45
1300	168.27	0.99	100.33	748.38
1400	180.67	1.15	108.8	835.24
1500	183.62	1.01	117.63	887.52
1600	189.2	1.18	119.18	915.39
1700	216.42	0.98	134.25	991.81
1800	195.58	0.78	130.03	978.34
1900	234.67	1.09	149.96	1065.89
2000	258.12	1.34	163.92	1205.05
2100	232.45	0.94	153.31	1130.64
2200	283.16	1.07	178.3	1331.61
2300	289.36	0.88	190.36	1315.43
2400	302.84	1.16	203.36	1396.98
2500	311.85	1.21	197.83	1432.48
2600	332.72	1.45	214.58	1507.49
2700	316.65	1.28	203.35	1534.88
2800	322.44	1.21	206.89	1522.27
2900	366.25	1.39	228.12	1738.54
3000	377.14	1.06	226.61	1736.41
3100	387.08	1.51	251.53	1869.88
3200	377.67	1.05	246.85	1863.96
3300	401.71	1.12	261.49	1953.47
3400	371.44	1.35	304.28	1939.6
3500	386.95	1.35	357.98	2005.55
3600	414.15	1.16	376.21	2019.48
3700	406.99	1.41	323.9	2019.11
3800	560.97	1.27	336.38	2052.16
3900	474.67	1.47	320.71	2013.45
4000	496.63	1.67	301.99	2165.48
4100	548.77	1.24	333.44	2340.32
4200	515.75	1.24	330.06	2365.42
4300	496.02	1.18	315.43	2282.41
4400	521.5	1.32	332.12	2406.63
4500	561.53	1.24	373.39	2603.83
4600	543.57	1.31	334.24	2528.82
4700	560.82	1.28	351.34	2614.77
4800	593.12	1.58	366.02	2677.68
4900	640.3	1.64	411.16	2909.79
5000	649.84	1.23	403.28	2972.57
5100	644.95	1.21	398.73	2900.78
5200	579.64	1.45	377.43	2863.94
5300	586.51	1.18	370.94	2832.72
5400	583.88	1.14	380.94	2867.44
5500	619.58	1.16	471.35	2934.8
5600	599.94	1.27	392.74	2978.74
5700	617.54	1.31	606.27	3190.91
5800	602.89	1.11	486.19	3035.91
5900	636.26	1.46	491.55	3062.73
6000	640.05	1.16	482.38	3074.04
6100	677.18	1.2	593.59	3182.06
6200	762.66	1.54	450.43	3209.4
6300	788.26	1.14	491.78	3247.69
6400	793.19	1.18	494.23	3498.03
6500	804.31	1.38	490.04	3501.28
6600	819.48	1.23	502.88	3628.31
6700	811.73	1.34	515.51	3641.67
6800	833.87	1.3	512.97	3825.38
6900	837.38	1.32	524.93	3818.97
7000	814.46	1.3	550.44	3825.16
7100	831.02	1.87	524.73	3841.63
7200	800.33	1.24	522.05	3793.69
7300	863.4	1.3	553.34	3981.99
7400	865.01	1.3	517.28	3937.1
7500	836.68	1.03	541.34	3981.99
7600	952.08	1.15	583.65	4161.28
7700	908.22	1.24	594.13	4242.86
7800	929.43	1.45	590.35	4342.55
7900	953.78	1.28	588.28	4305.1
8000	930.54	1.28	601.62	4358.43
8100	956.64	1.33	589.97	4519.67
8200	929.2	1.19	572.49	4353.1
8300	960.13	1.28	610.88	4549.13
8400	923.15	1.23	627.36	4558.87
8500	934.46	1.19	695.25	4682.29
8600	925.04	1.3	705.17	4708.6
8700	1081.43	1.35	643.44	4832.81
8800	981.0	1.43	636.24	4688.11
8900	1008.05	1.16	657.24	4971.93
9000	1058.61	1.33	630.89	4781.59
9100	1082.46	1.2	667.23	4956.39
9200	1050.62	1.3	689.09	5103.72
9300	1036.13	1.45	659.84	5045.89
9400	1190.5	1.29	702.18	5185.19
9500	1138.97	1.39	774.59	5591.24
9600	1163.61	1.32	747.49	5380.57
9700	1114.13	1.25	712.41	5377.36
9800	1237.97	1.41	763.24	5709.2
9900	1162.26	1.3	711.17	5415.35
10000	1234.91	1.29	730.24	5599.06
10100	1120.44	1.32	711.09	5462.74
10200	1197.1	1.66	842.58	5924.37
10300	1253.86	1.53	752.29	5778.98
10400	1161.39	1.37	729.47	5652.12
10500	1289.58	1.59	801.37	6162.44
10600	1209.39	1.38	791.83	6045.82
10700	1215.77	1.49	850.3	5933.15
10800	1238.47	1.3	795.57	6127.01
10900	1246.39	1.42	962.9	6351.82
11000	1236.25	1.44	960.26	6293.74
11100	1282.86	1.56	1022.86	5954.78
11200	1275.84	1.6	975.44	6428.58
11300	1255.23	1.37	1020.54	6208.28
11400	1242.06	1.3	1020.1	6202.99
11500	1246.43	1.66	919.68	6093.62
11600	1241.47	1.52	1043.14	6195.06
11700	1400.33	1.43	879.98	6431.99
11800	1516.17	1.92	914.47	6824.56
11900	1473.36	1.49	892.48	6596.87
12000	1434.54	1.56	897.98	6591.23
12100	1359.56	1.65	865.23	6615.67
12200	1447.97	1.61	901.44	6717.34
12300	1519.2	1.69	964.67	6833.45
12400	1491.65	1.64	897.96	6688.37
12500	1454.95	1.71	910.79	6806.17
12600	1530.17	2.26	923.66	7242.13
12700	1479.47	1.79	925.08	7065.84
12800	1544.4	1.92	953.74	7195.66
12900	1572.81	1.8	978.96	7020.64
13000	1618.51	2.1	986.53	7209.93
13100	1488.67	1.99	951.5	7280.02
13200	1594.49	1.88	986.32	7513.26
13300	1670.98	1.71	954.94	7777.04
13400	1551.54	2.13	1019.09	7440.08
13500	1561.0	1.97	963.01	7498.55
13600	1576.11	1.96	962.61	7508.78
13700	1592.91	1.85	977.48	7697.97
13800	1612.59	2.04	1061.64	7983.27
13900	1614.81	1.94	1057.97	7909.39
14000	1713.02	2.06	1028.18	7909.04
14100	1632.91	2.24	1037.25	7759.81
14200	1655.16	1.91	1066.75	8037.68
14300	1726.03	2.24	1088.91	8102.81
14400	1678.03	1.62	1055.04	8024.49
14500	1708.09	2.09	1091.74	8298.78
14600	1700.18	1.91	1078.61	8372.34
14700	1798.53	2.5	1098.13	8622.05
14800	1665.42	2.69	1058.27	8068.2
14900	1705.09	2.56	1069.55	8319.12
15000	1844.58	2.14	1167.78	8642.6
15100	1728.22	2.15	1114.28	8568.27
15200	1743.92	2.21	1120.2	8176.8
15300	1809.06	2.48	1182.21	8744.86
15400	1846.66	2.76	1179.17	8945.68
15500	1823.63	2.26	1160.2	9026.39
15600	1827.74	3.43	1176.46	8846.83
15700	1738.68	2.49	1134.21	8491.33
15800	1832.19	2.6	1355.04	8923.29
15900	1752.78	2.41	1283.32	8545.96
16000	1807.25	2.18	1430.37	9271.9
16100	1795.81	1.97	1398.72	9151.9
16200	1771.89	4.62	1394.63	9257.46
16300	1757.86	2.09	1298.36	8902.93
16400	1765.69	1.81	1350.8	9041.54
16500	1762.85	2.11	1340.62	9124.31
16600	1911.07	2.58	1214.66	9456.09
16700	1898.35	2.56	1174.54	9204.78
16800	1973.7	2.65	1207.93	9456.63
16900	2029.52	2.6	1258.39	9659.3
17000	2051.86	3.09	1296.93	9752.92
17100	1999.65	2.38	1264.91	9686.7
17200	2026.1	2.51	1304.88	9833.29
17300	1993.72	2.7	1253.72	9685.42
17400	2117.96	2.68	1322.09	10062.03
17500	2174.01	2.87	1231.84	9970.52
17600	2029.19	2.46	1351.01	10083.05
17700	2097.74	2.79	1342.03	10160.66
17800	2037.49	2.67	1319.98	9992.79
17900	2155.51	2.59	1317.65	10144.06
18000	2145.48	2.76	1365.5	10521.28
18100	2183.88	2.65	1333.38	10559.16
18200	2155.26	2.93	1413.61	10697.88
18300	2142.75	2.46	1364.23	10594.37
18400	2122.98	2.49	1342.3	10427.85
18500	2170.35	2.76	1424.87	10542.59
18600	2191.33	3.2	1431.69	10971.14
18700	2189.4	3.11	1449.96	10928.23
18800	2193.86	2.5	1486.93	10876.76
18900	2174.95	2.52	1472.43	10981.08
19000	2256.07	3.19	1380.49	11072.43
19100	2296.05	3.13	1374.05	10939.09
19200	2132.5	2.47	1316.38	10413.26
19300	2224.69	2.48	1390.02	10295.22
19400	2275.79	2.57	1359.63	10615.3
19500	2290.51	2.88	1394.92	11411.1
19600	2352.98	3.5	1477.67	11285.89
19700	2294.48	2.97	1438.63	11422.2
19800	2366.11	3.17	1541.82	11276.03
19900	2435.95	2.87	1517.01	11515.91
20000	2262.44	2.28	1425.72	10655.75
