filtrerade filter = [32, 101, 116, 97, 111, 110, 105, 115, 114, 104]

elem	freq	tree	encode	decode	
100	114.3	2.11	10.33	105.06
200	38.95	2.42	23.25	295.53
300	42.59	1.99	28.39	266.71
400	63.39	1.55	35.63	340.34
500	68.35	1.48	41.0	399.37
600	78.42	1.33	48.08	477.53
700	93.57	1.29	54.64	527.79
800	113.89	1.57	66.6	644.3
900	119.06	1.55	75.11	689.67
1000	138.74	1.42	79.84	771.5
1100	150.71	1.46	90.27	837.58
1200	154.17	1.25	103.04	906.58
1300	171.03	1.5	105.95	995.17
1400	173.64	1.42	105.65	1012.04
1500	194.39	1.39	118.61	1079.09
1600	203.36	1.28	121.89	1142.79
1700	208.56	1.2	130.05	1215.26
1800	230.68	1.7	139.12	1339.33
1900	263.49	1.82	202.94	1468.57
2000	274.16	1.57	158.44	1540.43
2100	261.07	1.33	172.83	1545.71
2200	300.56	1.48	168.81	1585.1
2300	306.43	1.69	180.52	1679.28
2400	310.64	1.64	186.59	1747.19
2500	311.62	1.78	193.24	1830.82
2600	324.39	1.5	199.9	1860.95
2700	344.73	1.35	218.08	1963.45
2800	347.51	1.55	242.96	2032.09
2900	380.78	1.48	229.63	2078.62
3000	380.78	1.6	238.25	2170.57
3100	392.91	1.34	240.39	2145.44
3200	406.74	1.59	251.77	2323.6
3300	426.16	1.37	255.13	2342.61
3400	411.51	1.43	268.87	2395.02
3500	428.96	1.63	272.14	2555.38
3600	504.14	1.65	283.48	2676.83
3700	489.76	2.06	290.57	2678.68
3800	495.12	1.77	289.64	2748.69
3900	486.1	1.48	302.4	2828.65
4000	503.82	1.57	294.43	2785.24
4100	510.79	1.51	340.58	2994.51
4200	512.71	1.74	390.63	3055.97
4300	590.3	1.71	350.43	3035.42
4400	557.57	1.83	343.47	2970.53
4500	577.51	1.78	342.97	3185.01
4600	592.48	1.74	350.72	3290.84
4700	576.06	1.34	347.32	3252.15
4800	609.02	1.53	379.98	3376.21
4900	604.52	1.35	379.6	3412.25
5000	622.69	1.68	366.18	3385.7
5100	681.4	1.76	388.15	3593.92
5200	645.51	1.6	385.87	3623.06
5300	678.95	1.72	422.62	3820.51
5400	670.06	1.32	435.49	3788.64
5500	682.83	1.65	464.32	3973.12
5600	757.67	1.56	453.11	3986.66
5700	696.17	1.54	459.12	3905.15
5800	741.81	1.72	437.4	4009.44
5900	754.27	1.63	474.77	4242.59
6000	754.43	1.72	484.99	4259.28
6100	791.85	1.66	477.01	4354.52
6200	765.35	1.83	515.01	4477.69
6300	808.43	1.82	501.36	4545.49
6400	775.54	1.72	476.03	4432.8
6500	769.32	1.49	477.25	4506.33
6600	827.22	1.75	510.48	4603.89
6700	829.63	1.85	513.11	4832.09
6800	793.59	1.46	522.23	4748.57
6900	847.99	1.64	536.84	4876.45
7000	883.11	1.87	540.49	5039.73
7100	916.6	1.96	553.13	5199.12
7200	909.82	1.77	539.89	5297.19
7300	973.3	1.69	567.74	5218.74
7400	927.84	1.8	562.99	5398.28
7500	947.61	1.69	559.64	5305.71
7600	928.66	1.68	566.66	5402.2
7700	910.48	1.97	586.26	5469.66
7800	952.65	1.68	597.4	5655.11
7900	997.49	1.78	732.97	5487.33
8000	932.62	1.56	825.24	5808.51
8100	995.81	1.77	770.07	5515.96
